phenotype	condition	pval	beta	std	pval_fdr
CONDITION2	CONDITION1	0.791592847103745	0.0157450358282579	0.0594161477950938	0.9651783563798586
LIPID1	CONDITION1	0.0045380381737768	1.1993135187243356	0.4124159390290836	0.07639030925857614
LIPID2	CONDITION1	0.0033968987583682	1.6081620912710275	0.5350259633290112	0.06861735491903764
LIPID3	CONDITION1	0.0	1.0	5.793996932242061e-17	0.0
LIPID4	CONDITION1	1.305255967493011e-13	-4.028895272956135e-16	4.653239696922932e-17	6.5915426358397054e-12
LIPID5	CONDITION1	0.8632574872239527	-0.0111087905952359	0.0643237015870067	0.9651783563798586
LIPID6	CONDITION1	0.9113020380059204	-0.0075063452596697	0.0672029103501363	0.9791649557297655
LIPID7	CONDITION1	0.3205699758654777	0.0614693005358342	0.0615577502708028	0.6348542659296715
LIPID8	CONDITION1	0.354612573631434	0.0576322239621774	0.0619519305604462	0.6395691060138363
LIPID9	CONDITION1	0.4323551293767406	0.0490431223865521	0.0621934912472341	0.7064615207068362
LIPID10	CONDITION1	0.1161732778253371	0.0939943180331589	0.0592774478405971	0.4874545039818834
LIPID11	CONDITION1	0.6491798813170293	0.0293524279460885	0.0643178067639506	0.8406047181156405
LIPID12	CONDITION1	0.1014902227870581	0.1099738121482552	0.0664949287400738	0.4874545039818834
LIPID13	CONDITION1	0.7687594733043237	0.0170549076224262	0.0578428619687105	0.9651783563798586
LIPID14	CONDITION1	0.8803610433088925	0.0088836559218835	0.0588627594479259	0.9651783563798586
LIPID15	CONDITION1	0.3136145956099497	0.0632397578850826	0.0624222303525088	0.6348542659296715
LIPID16	CONDITION1	0.4601630081385139	0.0462489747043873	0.062361604650078	0.7150225203383062
LIPID17	CONDITION1	0.0762031472437646	0.1080267344985875	0.0602520587139625	0.47230496541068434
LIPID18	CONDITION1	0.537917807404262	-0.0364922013383482	0.059026751310822	0.7545791464976453
LIPID19	CONDITION1	0.2414918035560133	0.0777241497729331	0.0659404395108345	0.5551531361687816
LIPID20	CONDITION1	0.575524091943201	0.036193414749039	0.0644129879534086	0.7648412274508328
LIPID21	CONDITION1	0.6664565083837943	0.0261269681881559	0.0604261224154915	0.8520519917311801
LIPID22	CONDITION1	0.4942659652605988	-0.0413738754883715	0.0602927721003067	0.7450874998704549
LIPID23	CONDITION1	0.281682231094789	0.0613294923273064	0.0566415305452051	0.6214930673015584
LIPID24	CONDITION1	0.1416983181133136	0.0891088535111422	0.0601294685450187	0.4874545039818834
LIPID25	CONDITION1	0.1154819987299692	0.097039206745474	0.0610801795591825	0.4874545039818834
LIPID26	CONDITION1	0.8280420601730281	0.0146065804894332	0.067058252390588	0.9651783563798586
LIPID27	CONDITION1	0.8880839506702962	0.0085565898019928	0.0606371512971002	0.9651783563798586
LIPID28	CONDITION1	0.8712965532428756	-0.0095053796047914	0.058510973060892	0.9651783563798586
LIPID29	CONDITION1	0.3456310217630319	0.0631233220454811	0.0665955979803596	0.6395691060138363
LIPID30	CONDITION1	0.0179123903431746	0.1470726377144922	0.0610331925273724	0.20101682496229276
LIPID31	CONDITION1	0.5638784836397979	0.037109232588532	0.064076196559178	0.7648412274508328
LIPID32	CONDITION1	0.2247826749082123	0.0728426453709129	0.0596118947208898	0.5504108215757417
LIPID33	CONDITION1	0.947159549366578	-0.0040237552166097	0.0605518141602555	0.9828859777014486
LIPID34	CONDITION1	0.2418488910042217	0.0729444901465251	0.0619327303129976	0.5551531361687816
LIPID35	CONDITION1	0.0305182009494197	0.1360423853711574	0.0619370834417338	0.28021257235376273
LIPID36	CONDITION1	0.3721148033243339	0.0569655986211823	0.0635207096247305	0.6593613181711881
LIPID37	CONDITION1	0.0937957684311272	0.1059391800976696	0.0625803354098616	0.4874545039818834
LIPID38	CONDITION1	0.8887285855774936	0.0087352395130443	0.0622642059456524	0.9651783563798586
LIPID39	CONDITION1	0.3495140793089155	-0.0609934183001279	0.0648713615447401	0.6395691060138363
LIPID40	CONDITION1	0.3370645247997035	0.0578633926625063	0.0599675039462087	0.6395691060138363
LIPID41	CONDITION1	0.973081707523058	-0.0022312119662112	0.0659469381706668	0.9828859777014486
LIPID42	CONDITION1	0.1792778308313075	0.0755467045607673	0.0558334577121429	0.505625352532852
LIPID43	CONDITION1	0.9681403855413684	0.0024966354756464	0.0623422336794427	0.9828859777014486
