phenotype	condition	pval	beta	std	pval_fdr
LIPID1	CONDITION1	0.3717576695909569	0.1697727548456548	0.1891570433236333	0.9975111486145372
LIPID2	CONDITION1	0.1043711473110003	0.1391859109199418	0.0848663921703671	0.9488286119181846
LIPID3	CONDITION1	0.0	1.0000000000000004	1.8565418681839663e-14	0.0
LIPID4	CONDITION1	0.8368599520643476	-9.020562075079396e-17	4.368532733386552e-16	0.9975111486145372
LIPID5	CONDITION1	0.2312409075953738	-0.0755996990441441	0.0627356627801166	0.9975111486145372
LIPID6	CONDITION1	0.2139630316238908	-0.080867555916657	0.064626760085942	0.9975111486145372
LIPID7	CONDITION1	0.9623683428021812	-0.0028221718284162	0.0596539238418759	0.9975111486145372
LIPID8	CONDITION1	0.8820040233084575	-0.0088934796290583	0.0597528976400477	0.9975111486145372
LIPID9	CONDITION1	0.7718150712922404	-0.0174597090620308	0.0600303193558051	0.9975111486145372
LIPID10	CONDITION1	0.4185822121417135	0.0483994440336679	0.059568857887208	0.9975111486145372
LIPID11	CONDITION1	0.9879558406330196	-0.0010033298438217	0.0662861966996643	0.9975111486145372
LIPID12	CONDITION1	0.5577682451947773	0.0376425928505741	0.0639872057246007	0.9975111486145372
LIPID13	CONDITION1	0.6353630012488534	-0.0276437223698073	0.0581046815986627	0.9975111486145372
LIPID14	CONDITION1	0.4412460701655403	-0.044955025632026	0.0581263549895107	0.9975111486145372
LIPID15	CONDITION1	0.8312176072097942	-0.0125498470207698	0.0587154432714655	0.9975111486145372
LIPID16	CONDITION1	0.8683669623514567	-0.0102461169180209	0.0616524433938334	0.9975111486145372
LIPID17	CONDITION1	0.3450395248709832	0.0569507922313874	0.0600062881517034	0.9975111486145372
LIPID18	CONDITION1	0.0491390371225016	-0.1099991829226058	0.0551795631517638	0.7205994800356175
LIPID19	CONDITION1	0.8566380240317336	-0.0109319580842441	0.0603449824221611	0.9975111486145372
LIPID20	CONDITION1	0.6374345312664793	-0.0296193243252144	0.0626412035967275	0.9975111486145372
LIPID21	CONDITION1	0.5324831674370492	-0.0367151540011687	0.0585980541947909	0.9975111486145372
LIPID22	CONDITION1	0.0349283093200943	-0.1194195285370749	0.0557897942103881	0.6985661864018861
LIPID23	CONDITION1	0.6864257515432106	0.0232770562438266	0.057477730969511	0.9975111486145372
LIPID24	CONDITION1	0.7211338337035731	0.0205288502166129	0.0573387003756691	0.9975111486145372
LIPID25	CONDITION1	0.7191703418329973	0.0205654851718347	0.0570215549585806	0.9975111486145372
LIPID26	CONDITION1	0.4253220542558291	-0.0523973087937985	0.0654359589594225	0.9975111486145372
LIPID27	CONDITION1	0.4696063404576125	-0.043767003649437	0.060277563295092	0.9975111486145372
LIPID28	CONDITION1	0.1848813806619857	-0.074842579297838	0.0560291742328493	0.9975111486145372
LIPID29	CONDITION1	0.6712139582451571	-0.0259896388965976	0.0610325720838251	0.9975111486145372
LIPID30	CONDITION1	0.1577479944699753	0.084480451796317	0.0593196469830925	0.9975111486145372
