meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
OID41786_OID20790	OID41786_OID20790	OID41786	Q86VW0	SESTD1	OID20790	Q86VW0	SESTD1
OID41215_OID20791	OID41215_OID20791	OID41215	P53539	FOSB	OID20791	P53539	FOSB
OID41533_OID20792	OID41533_OID20792	OID41533	Q92597	NDRG1	OID20792	Q92597	NDRG1
OID42864_OID20793	OID42864_OID20793	OID42864	A1E959	ODAM	OID20793	A1E959	ODAM
OID42963_OID20794	OID42963_OID20794	OID42963	P60484	PTEN	OID20794	P60484	PTEN
OID42586_OID20795	OID42586_OID20795	OID42586	Q8IU54	IFNL1	OID20795	Q8IU54	IFNL1
OID43103_OID20796	OID43103_OID20796	OID43103	P51531	SMARCA2	OID20796	P51531	SMARCA2
OID42314_OID20797	OID42314_OID20797	OID42314	O14579	COPE	OID20797	O14579	COPE
OID42152_OID20798	OID42152_OID20798	OID42152	P15336	ATF2	OID20798	P15336	ATF2
OID43089_OID20799	OID43089_OID20799	OID43089	P53985	SLC16A1	OID20799	P53985	SLC16A1
OID42682_OID20800	OID42682_OID20800	OID42682	P02533	KRT14	OID20800	P02533	KRT14
OID42214_OID20801	OID42214_OID20801	OID42214	P22676	CALB2	OID20801	P22676	CALB2
OID42140_OID20803	OID42140_OID20803	OID42140	Q4LE39	ARID4B	OID20803	Q4LE39	ARID4B
OID42201_OID20804	OID42201_OID20804	OID42201	Q9NSK7	C19orf12	OID20804	Q9NSK7	C19orf12
OID43052_OID20805	OID43052_OID20805	OID43052	Q8WTV0	SCARB1	OID20805	Q8WTV0	SCARB1
OID42112_OID20806	OID42112_OID20806	OID42112	Q9UKV5	AMFR	OID20806	Q9UKV5	AMFR
OID42763_OID20807	OID42763_OID20807	OID42763	P45452	MMP13	OID20807	P45452	MMP13
OID42623_OID20809	OID42623_OID20809	OID42623	Q6ZMJ4	IL34	OID20809	Q6ZMJ4	IL34
OID42125_OID20810	OID42125_OID20810	OID42125	P08758	ANXA5	OID20810	P08758	ANXA5
OID42161_OID20811	OID42161_OID20811	OID42161	P48047	ATP5PO	OID20811	P48047	ATP5PO
OID43079_OID20812	OID43079_OID20812	OID43079	Q6ZMC9	SIGLEC15	OID20812	Q6ZMC9	SIGLEC15
OID42653_OID20813	OID42653_OID20813	OID42653	Q6PIL6	KCNIP4	OID20813	Q6PIL6	KCNIP4
OID43091_OID20814	OID43091_OID20814	OID43091	Q6P1M0	SLC27A4	OID20814	Q6P1M0	SLC27A4
OID42753_OID20815	OID42753_OID20815	OID42753	P53582	METAP1	OID20815	P53582	METAP1
OID43168_OID20816	OID43168_OID20816	OID43168	P13385	TDGF1	OID20816	P13385	TDGF1
OID42978_OID20817	OID42978_OID20817	OID42978	Q9NRW1	RAB6B	OID20817	Q9NRW1	RAB6B
OID43132_OID20818	OID43132_OID20818	OID43132	P05455	SSB	OID20818	P05455	SSB
OID42878_OID20819	OID42878_OID20819	OID42878	O96013	PAK4	OID20819	O96013	PAK4
OID43082_OID20820	OID43082_OID20820	OID43082	Q9NXA8	SIRT5	OID20820	Q9NXA8	SIRT5
OID42718_OID20821	OID42718_OID20821	OID42718	Q8N2G4	LYPD1	OID20821	Q8N2G4	LYPD1
OID42970_OID20822	OID42970_OID20822	OID42970	P49023	PXN	OID20822	P49023	PXN
OID42582_OID20823	OID42582_OID20823	OID42582	Q9BXS1	IDI2	OID20823	Q9BXS1	IDI2
OID42694_OID20824	OID42694_OID20824	OID42694	P15018	LIF	OID20824	P15018	LIF
OID42521_OID20825	OID42521_OID20825	OID42521	Q9H1C3	GLT8D2	OID20825	Q9H1C3	GLT8D2
OID42992_OID20826	OID42992_OID20826	OID42992	P20936	RASA1	OID20826	P20936	RASA1
OID42390_OID20827	OID42390_OID20827	OID42390	P51452	DUSP3	OID20827	P51452	DUSP3
OID42462_OID20828	OID42462_OID20828	OID42462	P09769	FGR	OID20828	P09769	FGR
OID42577_OID20829	OID42577_OID20829	OID42577	P14625	HSP90B1	OID20829	P14625	HSP90B1
OID42741_OID20830	OID42741_OID20830	OID42741	P10636	MAPT	OID20830	P10636	MAPT
OID42302_OID20831	OID42302_OID20831	OID42302	Q9HAW4	CLSPN	OID20831	Q9HAW4	CLSPN
OID42874_OID20832	OID42874_OID20832	OID42874	Q9UM07	PADI4	OID20832	Q9UM07	PADI4
OID42643_OID20833	OID42643_OID20833	OID42643	P26440	IVD	OID20833	P26440	IVD
OID42844_OID20834	OID42844_OID20834	OID42844	P29474	NOS3	OID20834	P29474	NOS3
OID42916_OID20835	OID42916_OID20835	OID42916	O60240	PLIN1	OID20835	O60240	PLIN1
OID42283_OID20836	OID42283_OID20836	OID42283	P41208	CETN2	OID20836	P41208	CETN2
OID43138_OID20837	OID43138_OID20837	OID43138	Q9Y6E0	STK24	OID20837	Q9Y6E0	STK24
OID42511_OID20838	OID42511_OID20838	OID42511	Q9UJY5	GGA1	OID20838	Q9UJY5	GGA1
OID42883_OID20839	OID42883_OID20839	OID42883	P30039	PBLD	OID20839	P30039	PBLD
OID42419_OID20840	OID42419_OID20840	OID42419	Q5JZY3	EPHA10	OID20840	Q5JZY3	EPHA10
OID42515_OID20841	OID42515_OID20841	OID42515	Q02643	GHRHR	OID20841	Q02643	GHRHR
OID43225_OID20842	OID43225_OID20842	OID43225	Q9BW30	TPPP3	OID20842	Q9BW30	TPPP3
OID42163_OID20843	OID42163_OID20843	OID42163	Q16864	ATP6V1F	OID20843	Q16864	ATP6V1F
OID43162_OID20844	OID43162_OID20844	OID43162	Q9HA65	TBC1D17	OID20844	Q9HA65	TBC1D17
OID42500_OID20845	OID42500_OID20845	OID42500	Q96PP9	GBP4	OID20845	Q96PP9	GBP4
OID42468_OID20846	OID42468_OID20846	OID42468	Q9Y680	FKBP7	OID20846	Q9Y680	FKBP7
OID42968_OID20847	OID42968_OID20847	OID42968	Q03393	PTS	OID20847	Q03393	PTS
OID42862_OID20849	OID42862_OID20849	OID42862	P58417	NXPH1	OID20849	P58417	NXPH1
OID42920_OID20850	OID42920_OID20850	OID42920	Q15126	PMVK	OID20850	Q15126	PMVK
OID43279_OID20851	OID43279_OID20851	OID43279	Q6UX27	VSTM1	OID20851	Q6UX27	VSTM1
OID43094_OID20852	OID43094_OID20852	OID43094	Q15043	SLC39A14	OID20852	Q15043	SLC39A14
OID42632_OID20853	OID42632_OID20853	OID42632	Q9UK53	ING1	OID20853	Q9UK53	ING1
OID42224_OID20854	OID42224_OID20854	OID42224	P29466	CASP1	OID20854	P29466	CASP1
