protein	pval	beta	se	pval_fdr	dummy_ref	dummy_alt	sample_size	OID3072	OID3072_UniProt	OID3072_Assay
A0FGR8	0.2583102002116916	3.4147416020151224	3.020841678104523	0.5239750658460772	A	G	300	OID31134	A0FGR8	ESYT2
A1E959	0.2238235565853652	6.985085254592585	5.742312648969447	0.4879472444893122	A	G	300	OID20793	A1E959	ODAM
A1KZ92	0.3076157080365492	-7.836646376499236	7.681196086176327	0.5694204582856529	A	G	300	OID31405	A1KZ92	PXDNL
A1L4H1	2.9233224144723157e-09	49.76761528284828	8.384248261454971	2.082688968944789e-07	A	G	300	OID20351	A1L4H1	SSC5D
A2VDF0	9.54796640705529e-05	17.5406105005382	4.49551650416295	0.0013473241485511	A	G	300	OID30626	A2VDF0	FUOM
A4D1B5	0.4603873355323808	2.691973670241518	3.646627114310277	0.6971443271591936	A	G	300	OID21173	A4D1B5	GSAP
A6BM72	0.6253627451671001	-5.068742586817918	10.38114819399374	0.8029382763222416	A	G	300	OID30099	A6BM72	MEGF11
A6NC86	0.2139960674280888	9.780325654967122	7.870526084627007	0.4782574697455604	A	G	300	OID30651	A6NC86	PINLYP
A6NCE7	0.2020636585130705	-5.9913015093887365	4.696503095842071	0.4625610866118174	A	G	300	OID30074	A6NCE7	MAP1LC3B2
A6NDB9	0.604941933826478	3.989922514943888	7.712873088261711	0.7914031642202258	A	G	300	OID30182	A6NDB9	PALM3
A6NFN3	0.1854408123580188	11.298499265798016	8.532401994516812	0.43591105063536	A	G	300	OID30984	A6NFN3	RBFOX3
A6NGG8	0.2694755960983549	-5.390960470479765	4.881917972016531	0.5338577731014078	A	G	300	OID30838	A6NGG8	PCARE
A6NGN9	0.9868344873424368	0.0703089570200631	4.260820447840618	0.9939707392691012	A	G	300	OID31169	A6NGN9	IGLON5
A6NHS7	0.7784203889271142	1.86436379935124	6.62583046390863	0.89338479388246	A	G	300	OID30141	A6NHS7	MANSC4
A6NI73	0.0146153565024493	29.0912749694619	11.91399929437807	0.0830573080615844	A	G	300	OID20209	A6NI73	LILRA5
A6NLU5	0.485537247776278	-5.992903283220727	8.592907625860853	0.7155797562201117	A	G	300	OID31272	A6NLU5	VSTM2B
A6NM11	0.2926495742752258	10.829941510038044	10.291422813483209	0.5576186604422274	A	G	300	OID31440	A6NM11	LRRC37A2
A7E2Y1	0.528156070049383	-3.5868870062291225	5.686040820711279	0.7474534305301588	A	G	300	OID31178	A7E2Y1	MYH7B
A8MTB9	0.4714396986436793	-3.644917983685769	5.061412168503667	0.7059082055564159	A	G	300	OID31251	A8MTB9	CEACAM18
A8MVW0	0.073891586826078	-5.405089587195016	3.0241916590240816	0.252634647715071	A	G	300	OID31005	A8MVW0	FAM171A2
A8MVW5	0.3829856667778256	8.044639733582773	9.22118646598376	0.6332171153892145	A	G	300	OID31151	A8MVW5	HEPACAM2
A8MVZ5	0.1845287816208896	-12.81731997380907	9.65931186530393	0.4348596181742791	A	G	300	OID31196	A8MVZ5	BTNL10
A8MYV0	0.8671146676553622	0.8810271797671003	5.265378220937229	0.9426281891407938	A	G	300	OID31235	A8MYV0	DCDC2C
B0FP48	0.3222448427994777	6.694967747520469	6.763582150676477	0.5829245624240863	A	G	300	OID31281	B0FP48	UPK3BL1
B1AKI9	0.0034095213853859	21.829523549968915	7.454979010391629	0.0264170078692631	A	G	300	OID20538	B1AKI9	ISM1
B2RUY7	0.0170868090094829	-16.99532546593859	7.126417317506809	0.0932907833957	A	G	300	OID31002	B2RUY7	VWC2L
B6A8C7	0.820234020567735	1.1806660093879109	5.195587313762443	0.9162155158999442	A	G	300	OID30937	B6A8C7	TARM1
B6SEH8	0.0403352429162272	-13.013335674105589	6.347042272350591	0.1712489019742727	A	G	300	OID30094	B6SEH8	ERVV-1
E2RYF7	0.656250655461187	-2.3394427038979124	5.256045239655049	0.822034592289753	A	G	300	OID30088	E2RYF7	HCG22
I3L3R5	0.3393073417019342	-6.244412993039521	6.534993106628463	0.598139254744327	A	G	300	OID30221	I3L3R5	CCER2
NTproBNP	0.0809207717747017	-6.068413578627302	3.476866982633988	0.2686017890385269	A	G	300	OID20125	NTproBNP	NT-proBNP
O00148	0.2611473452081511	-9.788462978353444	8.711050330085826	0.5258270057067925	A	G	300	OID30494	O00148	DDX39A
O00161	0.5650414622541187	1.7946227990960335	3.1190790641070416	0.7687942558304411	A	G	300	OID20218	O00161	SNAP23
