protein	pval	beta	se	pval_fdr	dummy_ref	dummy_alt	sample_size	meta_id	OIDHT_OID3072	OIDHT	OIDHT_UniProt	OIDHT_Assay	OID3072	OID3072_UniProt	OID3072_Assay
Q9NUQ8	0.2073217491999892	4.9439362817417205	3.920758669694101	0.6664791700260625	A	G	200	OID40001		OID40001	Q9NUQ8	ABCF3			
Q8WTS1	0.2305837122514733	4.81405159303292	4.015535818310629	0.692027198452438	A	G	200	OID40002		OID40002	Q8WTS1	ABHD5			
Q96I13	0.83307681996333	0.346992764759742	1.6464108374885913	0.9544531718568704	A	G	200	OID40003		OID40003	Q96I13	ABHD8			
Q9H845	0.3202454717428644	1.863091279637505	1.874424856606498	0.7577559657301314	A	G	200	OID40004		OID40004	Q9H845	ACAD9			
Q6NUN0	0.0932643996739566	-6.445548801176144	3.840239217670909	0.5039811029240726	A	G	200	OID40005		OID40005	Q6NUN0	ACSM5			
Q8IZF7	0.9381990143251132	0.1344044032668183	1.733497447290135	0.9815849133707985	A	G	200	OID40006		OID40006	Q8IZF7	ADGRF2			
Q6ULP2	0.1244851617955903	6.544968611378616	4.26044530453665	0.5717877770611012	A	G	200	OID40007		OID40007	Q6ULP2	AFTPH			
Q8N157	0.1277471226854191	3.3131824735490967	2.1753655663944453	0.5751744142841678	A	G	200	OID40008		OID40008	Q8N157	AHI1			
C9J069	0.2232028203832895	3.37695492654597	2.7724142874175435	0.6842529900890436	A	G	200	OID40009		OID40009	C9J069	AJM1			
P24588	0.1556420924778672	6.5037717918607845	4.580502227329116	0.6054200668070617	A	G	200	OID40010		OID40010	P24588	AKAP5			
Q86TB3	0.4397043555889535	2.781322031258404	3.5995196591132044	0.8210162908356125	A	G	200	OID40011		OID40011	Q86TB3	ALPK2			
Q99218	0.4231535556122791	4.810722335145717	6.006179327481463	0.8157463816753908	A	G	200	OID40012		OID40012	Q99218	AMELY			
Q9UM13	0.086036655983364	3.814821127689408	2.2222015560850723	0.4898305414178917	A	G	200	OID40013		OID40013	Q9UM13	ANAPC10			
Q5TYW2	0.0295785897802397	3.781890110584729	1.738250115509505	0.301731844119462	A	G	200	OID40014		OID40014	Q5TYW2	ANKRD20A1			
Q6NSI1	0.5395633037304357	2.022433595014151	3.296692709437464	0.8553992075360588	A	G	200	OID40015		OID40015	Q6NSI1	ANKRD26P1			
O15084	0.0209632778910982	10.875029493242042	4.710567704712187	0.2509794493989364	A	G	200	OID40016		OID40016	O15084	ANKRD28			
A5PLL1	0.0525660647061561	4.55927120000176	2.351996282793328	0.4087692845170627	A	G	200	OID40017		OID40017	A5PLL1	ANKRD34B			
P0C6C1	0.8829145317132626	0.4852425174491618	3.294793489910664	0.9649467916289844	A	G	200	OID40018		OID40018	P0C6C1	ANKRD34C			
Q96IX9	0.2401324009750969	4.813957547218709	4.098185231458194	0.7049148056134233	A	G	200	OID40019		OID40019	Q96IX9	ANKRD36BP1			
Q5TZF3	0.0658193949209647	4.872163186777144	2.6484161623996245	0.4420256373776026	A	G	200	OID40020		OID40020	Q5TZF3	ANKRD45			
Q9NQW6	0.012150454966615	5.366123793545978	2.1398209324187465	0.1897852043776752	A	G	200	OID40021		OID40021	Q9NQW6	ANLN			
