protein	pval	beta	se	pval_fdr	dummy_ref	dummy_alt	sample_size
Q9NUQ8	0.2073217491999892	4.9439362817417205	3.920758669694101	0.6664791700260625	A	G	200
Q8WTS1	0.2305837122514733	4.81405159303292	4.015535818310629	0.692027198452438	A	G	200
Q96I13	0.83307681996333	0.346992764759742	1.6464108374885913	0.9544531718568704	A	G	200
Q9H845	0.3202454717428644	1.863091279637505	1.874424856606498	0.7577559657301314	A	G	200
Q6NUN0	0.0932643996739566	-6.445548801176144	3.840239217670909	0.5039811029240726	A	G	200
Q8IZF7	0.9381990143251132	0.1344044032668183	1.733497447290135	0.9815849133707985	A	G	200
Q6ULP2	0.1244851617955903	6.544968611378616	4.26044530453665	0.5717877770611012	A	G	200
Q8N157	0.1277471226854191	3.3131824735490967	2.1753655663944453	0.5751744142841678	A	G	200
C9J069	0.2232028203832895	3.37695492654597	2.7724142874175435	0.6842529900890436	A	G	200
P24588	0.1556420924778672	6.5037717918607845	4.580502227329116	0.6054200668070617	A	G	200
Q86TB3	0.4397043555889535	2.781322031258404	3.5995196591132044	0.8210162908356125	A	G	200
Q99218	0.4231535556122791	4.810722335145717	6.006179327481463	0.8157463816753908	A	G	200
Q9UM13	0.086036655983364	3.814821127689408	2.2222015560850723	0.4898305414178917	A	G	200
Q5TYW2	0.0295785897802397	3.781890110584729	1.738250115509505	0.301731844119462	A	G	200
Q6NSI1	0.5395633037304357	2.022433595014151	3.296692709437464	0.8553992075360588	A	G	200
O15084	0.0209632778910982	10.875029493242042	4.710567704712187	0.2509794493989364	A	G	200
A5PLL1	0.0525660647061561	4.55927120000176	2.351996282793328	0.4087692845170627	A	G	200
P0C6C1	0.8829145317132626	0.4852425174491618	3.294793489910664	0.9649467916289844	A	G	200
Q96IX9	0.2401324009750969	4.813957547218709	4.098185231458194	0.7049148056134233	A	G	200
Q5TZF3	0.0658193949209647	4.872163186777144	2.6484161623996245	0.4420256373776026	A	G	200
Q9NQW6	0.012150454966615	5.366123793545978	2.1398209324187465	0.1897852043776752	A	G	200
O00213	0.3851857792824799	-4.890636013321288	5.631901061108681	0.7962183003481376	A	G	200
Q9UBZ4	0.3036931791665058	1.5620666980987563	1.5187138631775423	0.7512629078422918	A	G	200
Q8IW19	0.1259734465080342	4.345763881579205	2.84004392414284	0.5723986255654165	A	G	200
Q9Y235	0.2932523581794283	6.863984367044496	6.530823743469784	0.743850299609796	A	G	200
Q7Z2E3	0.93002021576094	-0.2456310029070046	2.797001502370452	0.9786688125895832	A	G	200
P29972	0.4045266160622296	1.583834123966529	1.900074591422496	0.807425726042012	A	G	200
O15033	0.0980748182026664	-2.5502634767763377	1.5416345678762475	0.5155824584466071	A	G	200
Q9Y6D5	0.0235298847256917	10.780351668298536	4.760126202754248	0.2656916150276021	A	G	200
Q9P2F6	0.560134280033012	-1.7776090186479527	3.050945199621997	0.8615751424582287	A	G	200
A8MVX0	0.527177302155766	-1.6108051369121203	2.5474494024020977	0.8492791920269094	A	G	200
Q8TER5	0.4898043612248502	-3.0095451099029766	4.357743782255791	0.8394148428185961	A	G	200
