MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
P30307	a	g	200.00	-0.450	0.653	?-	0.0	0.000	0	1
A6NEF3_A6NEM1_A6NI86	a	g	200.00	1.538	0.124	?+	0.0	0.000	0	1
P01833	a	g	300.00	4.022	5.769e-05	+?	0.0	0.000	0	1
O60749	a	g	300.00	0.461	0.6445	+?	0.0	0.000	0	1
Q8IYM0	a	g	200.00	-0.452	0.6509	?-	0.0	0.000	0	1
Q02487	a	g	300.00	-0.083	0.9338	-?	0.0	0.000	0	1
Q68DQ2	a	g	200.00	-0.698	0.4849	?-	0.0	0.000	0	1
Q9UHL0	a	g	200.00	-1.123	0.2615	?-	0.0	0.000	0	1
Q8TBB5	a	g	200.00	-0.113	0.9104	?-	0.0	0.000	0	1
Q02127	a	g	500.00	1.267	0.2052	++	0.0	0.553	1	0.4572
P50548	a	g	200.00	0.103	0.918	?+	0.0	0.000	0	1
O00273	a	g	300.00	0.528	0.5975	+?	0.0	0.000	0	1
P54750	a	g	200.00	2.466	0.01368	?+	0.0	0.000	0	1
Q96JZ2	a	g	200.00	0.872	0.3833	?+	0.0	0.000	0	1
Q9NQT8	a	g	200.00	1.986	0.04705	?+	0.0	0.000	0	1
Q9BV57	a	g	200.00	0.397	0.6916	?+	0.0	0.000	0	1
P00736	a	g	300.00	2.238	0.02525	+?	0.0	0.000	0	1
Q9BTN0	a	g	200.00	1.084	0.2785	?+	0.0	0.000	0	1
Q6ZMJ4	a	g	200.00	1.051	0.2935	?+	0.0	0.000	0	1
Q9NZA1	a	g	200.00	0.649	0.5161	?+	0.0	0.000	0	1
A6NMA1	a	g	200.00	0.143	0.8867	?+	0.0	0.000	0	1
Q9ULI4	a	g	200.00	1.728	0.08392	?+	0.0	0.000	0	1
Q13136	a	g	200.00	1.567	0.117	?+	0.0	0.000	0	1
P08651	a	g	500.00	1.971	0.04875	++	0.0	0.049	1	0.8251
Q14563	a	g	200.00	0.048	0.9616	?+	0.0	0.000	0	1
P05164	a	g	300.00	-0.393	0.6946	-?	0.0	0.000	0	1
P48960	a	g	300.00	0.678	0.4975	+?	0.0	0.000	0	1
B3KU38	a	g	200.00	1.370	0.1706	?+	0.0	0.000	0	1
Q9BVV6	a	g	200.00	0.169	0.8661	?+	0.0	0.000	0	1
P27701	a	g	500.00	-0.087	0.9308	-+	77.4	4.431	1	0.0353
Q9Y5U2	a	g	200.00	0.948	0.3432	?+	0.0	0.000	0	1
A8MQ03	a	g	200.00	0.367	0.7139	?+	0.0	0.000	0	1
P24666	a	g	300.00	1.752	0.07977	+?	0.0	0.000	0	1
P06729	a	g	500.00	-0.984	0.3253	-+	61.9	2.622	1	0.1054
