MarkerName	Weight	Zscore	P-value	Direction	meta_id	OID3072	OIDHT	protein
OID40065	200	0.1638520751440017	0.8698475955801538	?+	OID40065	nan	OID40065	Q9BQP9
OID40301	200	1.0756001668607762	0.2821061127647737	?+	OID40301	nan	OID40301	P01563
OID41807	200	-0.8689939793668563	0.3848504238492544	?-	OID41807	nan	OID41807	Q96BD8
OID42993_OID31213	200	-0.6364734165355029	0.5244679023320051	?-	OID42993_OID31213	OID31213	OID42993	Q13972
OID41594	200	0.16325902369682527	0.8703144953350042	?+	OID41594	nan	OID41594	Q9Y5I3
OID40417	200	-0.268921557193846	0.7879900476064954	?-	OID40417	nan	OID40417	Q9Y6X9
OID43961_OID20979	300	-3.4844897767435765	0.0004930762983503	-?	OID43961_OID20979	OID20979	OID43961	O15232
OID41552	200	0.009372698879928825	0.9925217777613126	?+	OID41552	nan	OID41552	P51513
OID42118	200	-0.8450178932549817	0.3981008487653599	?-	OID42118	nan	OID42118	Q6UB99
OID42884_OID30838	500	-0.7630412254445347	0.4454388101824538	-+	OID42884_OID30838	OID30838	OID42884	A6NGG8
OID45135_OID30417	300	1.1177043562206137	0.2636932816404815	+?	OID45135_OID30417	OID30417	OID45135	P17174
OID40077	200	-1.4482268951241961	0.1475536051552184	?-	OID40077	nan	OID40077	Q9NWW7
OID41419	200	1.541742009616395	0.1231362990137775	?+	OID41419	nan	OID41419	Q96KN1
OID42784_OID31315	200	3.397553129871462	0.0006799138390872	?+	OID42784_OID31315	OID31315	OID42784	Q9ULD2
OID41812	200	1.1146358135387537	0.2650065167827108	?+	OID41812	nan	OID41812	P41440
OID42047	200	1.1069580149321432	0.2683120810685547	?+	OID42047	nan	OID42047	P61129
OID40822	200	-1.1274282337724935	0.2595614674039618	?-	OID40822	nan	OID40822	Q03989
OID40757	200	0.1991258077346387	0.8421643338030966	?+	OID40757	nan	OID40757	Q9UG63
OID42223_OID30921	500	2.7846010834564408	0.005359361321704821	++	OID42223_OID30921	OID30921	OID42223	O15234
OID43024_OID30453	500	0.5757031521945597	0.5648158443542763	+-	OID43024_OID30453	OID30453	OID43024	P15927
OID42921	200	0.009433192136064233	0.9924735132599262	?+	OID42921	nan	OID42921	Q96T60
OID43481_OID20603	300	-1.978056363894482	0.0479223484945901	-?	OID43481_OID20603	OID20603	OID43481	P41217
OID44017_OID31369	300	-0.6499595718477837	0.5157183363062824	-?	OID44017_OID31369	OID31369	OID44017	P52848
OID42071	200	0.7930199332351215	0.4277662093220941	?+	OID42071	nan	OID42071	Q5JPB2
OID42340	200	0.18567859993978938	0.8526968112480424	?+	OID42340	nan	OID42340	Q2TBE0
OID42657	200	0.3434998144179458	0.7312224804170424	?+	OID42657	nan	OID42657	Q8IZA0
OID44942_OID20218	300	0.5753694479077962	0.5650414622541187	+?	OID44942_OID20218	OID20218	OID44942	O00161
OID43204_OID21237	300	1.0583480713759104	0.2898967845424404	+?	OID43204_OID21237	OID21237	OID43204	P01375
OID42563	200	-0.6032328211105324	0.5463538163802608	?-	OID42563	nan	OID42563	P31629
OID45498_OID30779	300	4.159150738877081	3.194330501408092e-05	+?	OID45498_OID30779	OID30779	OID45498	P08697
OID44065_OID30227	300	0.6167530127118777	0.5373976486414211	+?	OID44065_OID30227	OID30227	OID44065	P55809
OID43854_OID20576	300	0.18249580616259742	0.8551936452941735	+?	OID43854_OID20576	OID20576	OID43854	P24394
OID41786_OID20790	200	-0.1886064955271271	0.8504012414941241	?-	OID41786_OID20790	OID20790	OID41786	Q86VW0
OID40360	200	0.5202655902639465	0.6028784754412818	?+	OID40360	nan	OID40360	P35900
OID43651_OID31365	300	-0.724265783979976	0.4689025788279475	-?	OID43651_OID31365	OID31365	OID43651	P56851
OID40468	200	-0.5354729541864749	0.5923228546840291	?-	OID40468	nan	OID40468	Q16656
OID42225_OID31276	500	-0.2941038864071721	0.768678521229133	--	OID42225_OID31276	OID31276	OID42225	P49662
OID42896_OID31226	200	0.980835136213193	0.3266740482657349	?+	OID42896_OID31226	OID31226	OID42896	Q6P996
OID42701_OID30895	200	-0.4950630957181309	0.6205555829239806	?-	OID42701_OID30895	OID30895	OID42701	Q9ULH4
OID40789	200	-0.07452573079879639	0.940592067875932	?-	OID40789	nan	OID40789	Q9H1A4
OID45115_OID20319	300	2.125366832104436	0.033556015631055	+?	OID45115_OID20319	OID20319	OID45115	P00533
OID40213	200	1.0994130914245077	0.2715879230635227	?+	OID40213	nan	OID40213	Q8NEV8
OID42577_OID20829	500	-0.15382806236701851	0.877745306612929	-+	OID42577_OID20829	OID20829	OID42577	P14625
OID44505_OID20709	300	2.090866100570564	0.0365400686668056	+?	OID44505_OID20709	OID20709	OID44505	P29279
OID45097_OID21150	300	2.8795431524445427	0.003982517927197	+?	OID45097_OID21150	OID21150	OID45097	P17538
OID41899	200	0.5535785716813929	0.5798672943775454	?+	OID41899	nan	OID41899	P43405
OID41971	200	0.14745424375800845	0.882773493061911	?+	OID41971	nan	OID41971	Q8NEE8
OID42081_OID30130	200	0.7036712854102541	0.4816375065093417	?+	OID42081_OID30130	OID30130	OID42081	Q15018
OID42361_OID30431	200	1.0097765952368156	0.3126023358305237	?+	OID42361_OID30431	OID30431	OID42361	Q9NQI0
OID42708_OID20438	200	-0.4587855437791574	0.6463881769159627	?-	OID42708_OID20438	OID20438	OID42708	Q6UXK5
OID30835	300	-0.7715663715679989	0.4403712979866917	-?	OID30835	OID30835	nan	P47874
OID42532	200	1.9155954397849877	0.0554166104723173	?+	OID42532	nan	OID42532	P36969
OID45463_OID30723	300	5.049510559157123	4.4294345503765147e-07	+?	OID45463_OID30723	OID30723	OID45463	P00734
OID43419_OID30525	300	1.529537356723904	0.1261312855080001	+?	OID43419_OID30525	OID30525	OID43419	O60238
OID44288_OID30536	300	0.6308765271651773	0.5281212607354775	+?	OID44288_OID30536	OID30536	OID44288	P52630
OID43548_OID21426	300	0.10119389731466241	0.9193965410891326	+?	OID43548_OID21426	OID21426	OID43548	Q02246
OID44837_OID20163	300	2.3926384083974552	0.0167277175394124	+?	OID44837_OID20163	OID20163	OID44837	O75340
