sample_ID	dummy_col
sample150	9
sample101	19
sample91	18
sample96	6
sample192	9
sample25	2
sample129	16
sample65	13
sample44	12
sample70	14
sample107	8
sample41	4
sample225	17
sample126	7
sample92	13
sample82	17
sample48	1
sample132	12
sample22	12
sample176	14
sample99	2
sample223	8
sample185	10
sample55	13
sample195	19
sample203	10
sample87	2
sample46	18
sample8	4
sample162	19
sample43	6
sample171	7
sample3	10
sample222	6
sample19	15
sample20	3
sample59	19
sample39	13
sample23	16
sample90	19
sample120	1
sample135	2
sample54	15
sample191	7
sample58	15
sample83	5
sample122	4
sample77	2
sample106	13
sample199	2
sample152	19
sample128	7
sample187	9
sample0	10
sample186	14
sample10	14
sample33	19
sample21	4
sample205	12
sample140	18
sample142	17
sample73	15
sample1	5
sample180	17
sample182	6
sample156	3
sample201	6
sample113	3
sample214	16
sample179	8
sample5	8
sample93	15
sample76	7
sample170	17
sample40	10
sample118	10
sample102	2
sample138	7
sample136	8
sample224	14
sample35	19
sample60	11
sample75	18
sample72	2
sample160	8
sample131	6
sample207	1
sample157	7
sample143	18
sample188	12
sample119	19
sample17	17
sample153	11
sample97	6
sample110	18
sample42	14
sample167	4
sample181	7
sample121	7
sample193	3
sample47	16
sample144	5
sample141	17
sample34	17
sample86	9
sample189	16
sample173	14
sample212	9
sample194	7
sample151	8
sample68	19
sample190	5
sample109	10
sample174	7
sample161	7
sample24	1
sample94	11
sample13	18
sample166	7
sample9	8
sample139	12
sample148	4
sample198	17
sample168	2
sample123	13
sample208	9
sample71	2
sample226	8
sample69	9
sample64	13
sample67	3
sample50	5
sample29	8
sample108	5
sample61	3
sample104	5
sample155	18
sample183	16
sample81	14
sample228	7
sample200	4
sample14	7
sample209	6
sample202	12
sample66	11
sample221	1
sample100	6
sample4	3
sample165	18
sample206	18
sample52	14
sample215	13
sample45	2
sample89	9
sample38	18
sample218	14
sample95	17
sample213	3
sample74	8
sample85	1
sample15	14
sample204	3
sample27	9
sample159	17
sample11	12
sample124	8
sample137	8
sample7	10
sample56	15
sample2	10
sample6	9
sample32	6
sample57	13
sample115	10
sample146	8
sample210	17
sample217	3
sample147	1
sample30	8
sample227	9
sample18	12
sample216	17
sample53	17
sample117	11
sample36	10
sample112	14
sample26	13
sample111	10
sample158	18
sample196	1
sample211	10
sample220	19
sample134	18
sample37	6
sample177	15
sample184	3
sample31	1
sample197	6
sample133	2
sample78	10
sample178	19
sample62	3
sample175	5
sample149	18
sample172	14
sample164	9
